Task ID,Task,Rooms to inlcude,Task Ready for Slurm,Task Ready for local,Task Ready to Test
0,turning_on_radio,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
1,picking_up_trash,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
2,putting_away_Halloween_decorations,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
3,cleaning_up_plates_and_food,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
4,can_meat,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
5,setting_mousetraps,"bathroom_0
bathroom_1
",1,1,1
6,hiding_Easter_eggs,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
7,picking_up_toys,"childs_room_0
childs_room_1
childs_room_2
corridor_0
dining_room_0
entryway_0
garden_0
",1,1,1
8,rearranging_kitchen_furniture,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
9,putting_up_Christmas_decorations_inside,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
10,set_up_a_coffee_station_in_your_kitchen,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
11,putting_dishes_away_after_cleaning,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
12,preparing_lunch_box,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
13,loading_the_car,"corridor_0
garage_0
garden_0
kitchen_0
living_room_0
",1,1,1
14,carrying_in_groceries,"corridor_0
garage_0
garden_0
kitchen_0
living_room_0
",1,1,1
15,bringing_in_wood,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
16,moving_boxes_to_storage,"corridor_0
garage_0
garden_0
kitchen_0
living_room_0",1,1,1
17,bringing_water,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
18,tidying_bedroom,"bathroom_1
bedroom_0
corridor_0
dining_room_0
entryway_0
garden_0",1,1,1
19,outfit_a_basic_toolbox,"corridor_0
dining_room_0
entryway_0
garden_0
utility_room_0",1,1,1
20,sorting_vegetables,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
21,collecting_childrens_toys,"childs_room_0
childs_room_1
childs_room_2
corridor_0
dining_room_0
entryway_0
garden_0
",1,1,1
22,putting_shoes_on_rack,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
23,boxing_books_up_for_storage,"living_room_0
",1,1,1
24,storing_food,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
25,clearing_food_from_table_into_fridge,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
26,assembling_gift_baskets,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
27,sorting_household_items,"bathroom_0
bathroom_1
bedroom_0
corridor_0
dining_room_0
entryway_0
garden_0",1,1,1
28,getting_organized_for_work,"bedroom_0
bedroom_1
bedroom_2
",1,1,1
29,clean_up_your_desk,"childs_room_0
childs_room_1
childs_room_2
corridor_0
dining_room_0
entryway_0
garden_0
",1,1,1
30,setting_the_fire,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
31,clean_boxing_gloves,"corridor_0
dining_room_0
entryway_0
garden_0
utility_room_0",1,1,1
32,wash_a_baseball_cap,"corridor_0
dining_room_0
entryway_0
garden_0
utility_room_0",1,1,1
33,wash_dog_toys,"corridor_0
dining_room_0
entryway_0
garden_0
utility_room_0",1,1,1
34,hanging_pictures,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
35,attach_a_camera_to_a_tripod,"bedroom_0
bedroom_1
bedroom_2
",1,1,1
36,clean_a_patio,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
37,clean_a_trumpet,"bedroom_0
bedroom_1
bedroom_2
",1,1,1
38,spraying_for_bugs,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
39,spraying_fruit_trees,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
40,make_microwave_popcorn,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
41,cook_cabbage,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
42,chop_an_onion,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
43,slicing_vegetables,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
44,chopping_wood,"corridor_0
garage_0
garden_0
kitchen_0
living_room_0
",1,1,1
45,cook_hot_dogs,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
46,cook_bacon,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
47,freeze_pies,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
48,canning_food,"corridor_0
dining_room_0
entryway_0
garden_0
kitchen_0
living_room_0
living_room_1",1,1,1
49,make_pizza,"corridor_0
garden_0
kitchen_0
living_room_0
",1,1,1
